#,NAME,RAJD,DECJD,BINARY,BINCOMP,PSR,AGE,EDOT,
1,J0002+6216,0.74237500,62.26927778,*,*,HE[wcp+18],3.06e+05,1.53e+35,
2,J0006+1834,1.52000000,18.58305556,*,*,*,5.24e+06,2.48e+32,
3,J0007+7303,1.75708333,73.05205556,*,*,NRAD[aab+22],1.39e+04,4.51e+35,
4,J0011+08,2.89166667,8.16666667,*,*,*,*,*,
5,J0012+5431,3.09708333,54.52972222,*,*,RRAT[dcm+23],3.74e+08,1.83e+29,
6,B0011+47,3.57395833,47.77594444,*,*,*,3.48e+07,1.17e+31,
7,J0021-0909,5.46445833,-9.16630556,*,*,*,3.53e+07,3.31e+30,
8,J0023+0923,5.82032291,9.38996121,ELL1,UL[hrm+11],HE,4.23e+09,1.59e+34,
9,J0024-7204aa,6.02362500,-72.08128333,*,*,*,*,*,
10,J0024-7204ab,6.03400625,-72.07988944,*,*,*,5.98e+09,7.62e+33,
11,J0024-7204ac,6.02362500,-72.06805556,BT,UL(?)[rgf+21],*,*,*,
12,J0024-7204ad,6.02362500,-72.06805556,BT,MS(?)[rgf+21],*,*,*,
13,B0021-72C,5.95981083,-72.07541800,*,*,*,*,*,
14,B0021-72D,6.05783717,-72.07884789,*,*,*,*,*,
15,B0021-72E,6.04627200,-72.08893033,DD,*,*,5.69e+08,8.79e+34,
16,B0021-72F,6.01606446,-72.07856064,*,*,*,6.44e+08,1.41e+35,
17,B0021-72G,6.03316792,-72.07769528,*,*,*,*,*,
18,B0021-72H,6.02793000,-72.06855742,DD,He[fck+03],*,*,*,
19,B0021-72I,6.03306125,-72.07768931,ELL1,UL[fck+03],*,*,*,
20,B0021-72J,5.99753208,-72.06633078,BTX,UL[fck+03],*,*,*,
21,B0021-72L,6.01571708,-72.08247861,*,*,*,*,*,
22,B0021-72M,5.97704125,-72.09187667,*,*,*,*,*,
23,B0021-72N,6.03828333,-72.07469186,*,*,*,*,*,
24,J0024-7204O,6.01938558,-72.08160194,BTX,UL[fck+03],*,1.38e+09,6.49e+34,
25,J0024-7204P,6.08333333,-72.06944444,BT,UL[clf+00],*,8.70e+07,5.42e+35,
26,J0024-7204Q,6.06871208,-72.07365678,ELL1,He[rvh+15],*,1.88e+09,2.05e+34,
27,J0024-7204R,6.03160458,-72.08066539,ELL1,UL[clf+00],*,3.72e+08,1.39e+35,
28,J0024-7204S,6.01658083,-72.07843139,ELL1,He[rvh+15],*,*,*,
29,J0024-7204T,6.03562125,-72.07748111,ELL1,He[cpf+15],*,4.09e+08,2.65e+34,
30,J0024-7204U,6.04098583,-72.06658006,ELL1,He[egh+01],*,7.23e+08,4.59e+34,
31,J0024-7204V,6.02362500,-72.08128333,BTX,*,*,*,*,
32,J0024-7204W,6.02524167,-72.08030222,BTX,MS[egc+02],*,*,*,
33,J0024-7204X,6.09327354,-72.02151150,ELL1,*,*,4.12e+09,6.67e+33,
34,J0024-7204Y,6.00584417,-72.07828786,ELL1,He[cpf+15],*,*,*,
35,J0024-7204Z,6.02517083,-72.08374444,*,*,*,*,*,
36,J0026-1955,6.65000000,-19.93305556,*,*,*,*,*,
37,J0026+6320,6.71067083,63.33357500,*,*,*,3.35e+07,1.84e+32,
38,J0030+0451,7.61428128,4.86103100,*,*,HE[btlb00/aaa+09e],7.58e+09,3.49e+33,
39,J0033+57,8.25000000,57.00000000,*,*,*,*,*,
40,J0033+61,8.25000000,61.00000000,*,*,*,*,*,
41,J0034-0534,8.59097592,-5.57686722,ELL1,He[bkb+95],HE[aaa+10b],5.99e+09,2.96e+34,
42,B0031-07,8.53695958,-7.36483583,*,*,*,3.66e+07,1.92e+31,
43,J0034+69,8.50000000,69.71666667,*,*,*,*,*,
44,J0036-1033,9.06254167,-10.55394444,*,*,*,6.69e+07,1.15e+31,
45,J0038-2501,9.54276667,-25.02520278,*,*,*,5.36e+09,1.77e+30,
46,J0039+35,9.77500000,35.75000000,*,*,*,*,*,
47,B0037+56,10.13495792,57.27356472,*,*,*,6.15e+06,8.13e+31,
48,J0043-73,10.85416667,-73.18333333,*,*,*,*,*,
49,J0045-7042,11.35704167,-70.70197222,*,*,*,4.02e+06,3.89e+32,
50,J0045-7319,11.39650000,-73.31750000,BT,MS[bbs+95],*,3.29e+06,2.22e+32,
51,B0045+33,12.14160282,34.20223077,*,*,*,8.19e+06,5.16e+31,
52,J0050+03,12.62916667,3.80000000,*,*,*,*,*,
53,J0051+0423,12.87541667,4.38027778,*,*,*,8.03e+08,6.19e+30,
54,J0052-72,13.11666667,-72.08333333,*,*,*,*,*,
55,J0054+66,13.50000000,66.00000000,*,*,RRAT,*,*,
56,J0054+69,13.61666667,69.43333333,*,*,RRAT[kkl+15],*,*,
57,J0054+6946,13.74631750,69.77134719,*,*,*,1.83e+07,4.92e+31,
58,B0052+51,13.93915875,51.29016694,*,*,*,3.51e+06,3.98e+31,
59,B0053+47,14.10630345,47.93626269,*,*,*,2.25e+06,1.25e+33,
60,J0057-7201,14.43333333,-72.02194444,*,*,*,1.17e+08,9.82e+30,
61,J0058+4950,14.54162336,49.84055678,*,*,*,1.96e+07,3.21e+31,
62,J0058+6125,14.50000000,61.41666667,*,*,*,*,*,
63,J0058-7218,14.56958333,-72.30166667,*,*,NRAD[met+21],1.19e+04,1.11e+38,
64,J0059+69,14.87500000,69.91666667,*,*,*,*,*,
65,J0100-7211,15.17929167,-72.19266667,*,*,AXP/NRAD,6.76e+03,1.44e+33,
66,J0100+8023,15.06704167,80.39493056,*,*,*,6.68e+07,4.20e+30,
67,J0101-6422,15.29631792,-64.37504750,BT,He[kcj+12],HE[aab+22],7.90e+09,1.20e+34,
68,J0102+4839,15.71112171,48.66187881,ELL1,He[hrm+11],HE[aab+22],4.11e+09,1.73e+34,
69,B0059+65,15.63746417,65.62039333,*,*,*,4.47e+06,4.97e+31,
70,J0103+54,15.90416667,54.03333333,*,*,RRAT[kkl+15],*,*,
71,J0104+64,16.00000000,64.00000000,*,*,*,*,*,
72,J0106+4855,16.60441667,48.93105556,*,*,HE[aab+22],3.08e+06,2.94e+34,
73,J0107+1322,16.91645833,13.37547222,*,*,*,2.76e+07,1.58e+31,
74,J0108-1431,17.03477923,-14.53060753,*,*,*,1.66e+08,5.77e+30,
75,B0105+65,17.09377042,66.14291639,*,*,*,1.56e+06,2.44e+32,
76,B0105+68,17.12293293,69.09795221,*,*,*,3.53e+08,1.55e+30,
77,J0109+11,17.25000000,11.53333333,*,*,*,*,*,
78,J0110-22,17.50000000,-22.00000000,*,*,*,*,*,
79,J0111+6624,17.84115050,66.40299564,*,*,*,8.15e+06,4.15e+30,
80,J0111-7131,17.86987500,-71.52966667,*,*,*,1.54e+06,8.58e+32,
81,J0113-7220,18.29620833,-72.34227778,*,*,*,1.06e+06,5.54e+33,
82,J0115+6325,18.94112500,63.43077778,*,*,*,5.17e+06,4.45e+32,
83,B0114+58,19.41108846,59.24399732,*,*,HE[saa+23],2.75e+05,2.21e+35,
84,J0121+53,20.25000000,53.48333333,*,*,RRAT[gac+21],*,*,
85,J0122+1416,20.50545833,14.27138889,*,*,*,5.79e+06,5.60e+31,
86,J0125-2327,21.25447637,-23.45225969,ELL1,*,*,3.16e+09,1.46e+34,
87,J0125+62,21.50000000,62.58333333,*,*,*,*,*,
88,J0131-7310,22.86879167,-73.16926111,*,*,*,3.13e+06,1.65e+33,
89,J0133-6957,23.38525000,-69.95824444,*,*,*,6.12e+07,4.76e+31,
90,J0134-2937,23.57784333,-29.62140056,*,*,*,2.77e+07,1.20e+33,
91,J0137+1654,24.34950000,16.91169444,*,*,*,5.37e+08,6.77e+30,
92,J0137+6349,24.30569116,63.82620927,*,*,*,1.19e+07,1.02e+32,
93,J0139+3336,24.98845833,33.61658333,*,*,RRAT[ttm18],9.58e+06,4.19e+31,
94,J0139+5621,24.91066667,56.36022222,*,*,*,3.56e+05,5.58e+32,
95,B0136+57,24.83225042,58.24217194,*,*,HE[saa+23],4.03e+05,2.09e+34,
96,B0138+59,25.41640900,60.15897317,*,*,*,4.95e+07,8.44e+30,
97,J0141+63,25.25000000,63.13333333,*,*,*,*,*,
98,J0146+31,26.56250000,31.06666667,*,*,*,*,*,
99,J0146+6145,26.59341667,61.75077778,*,*,AXP/NRAD,6.91e+04,1.20e+32,
100,B0144+59,26.93601417,59.36757889,*,*,*,1.21e+07,1.34e+33,
101,B0148-06,27.84465792,-6.58416306,*,*,*,5.24e+07,5.56e+30,
102,J0152+0948,28.09887500,9.80277778,*,*,*,2.56e+07,3.24e+30,
103,B0149-16,28.04522458,-16.63156694,*,*,*,1.02e+07,8.88e+31,
104,J0154+1833,28.65367804,18.56409944,*,*,HE[saa+23],1.28e+10,8.72e+33,
105,J0156+04,29.00416667,4.03333333,*,*,RRAT[dsm+16],*,*,
106,B0153+39,29.23019206,39.82459228,*,*,*,1.89e+08,1.01e+30,
107,B0154+61,29.45809750,62.20740222,*,*,*,1.97e+05,5.73e+32,
108,J0158+21,29.62083333,21.13333333,*,*,*,*,*,
109,J0201+7005,30.42226667,70.08836389,*,*,RRAT[kkl+15],3.88e+06,8.86e+31,
110,J0203-0150,30.89130062,-1.83377428,ELL1,He[mzl+23],*,5.74e+09,4.07e+33,
111,J0205+6449,31.40801029,64.82814842,*,*,HE[aab+22],5.37e+03,2.70e+37,
112,B0203-40,31.50538750,-40.46767222,*,*,*,8.35e+06,1.88e+32,
113,J0209+5759,32.40543333,57.99591944,*,*,*,1.21e+06,4.56e+32,
114,J0210+5845,32.73083333,58.75111111,*,*,*,2.09e+05,9.60e+32,
115,J0211-8159,32.99583333,-81.99338889,*,*,*,5.89e+07,9.16e+30,
116,J0212+5222,33.21724475,52.38041719,*,*,*,9.04e+05,4.89e+33,
117,J0214+5222,33.73029708,52.37804167,BT,He[slr+14],*,1.30e+09,7.95e+32,
118,J0215+6218,33.98594524,62.30927029,*,*,*,1.31e+07,1.58e+32,
119,J0218+4232,34.52649404,42.53815976,ELL1,He[ker96],HE[khvb98/aaa+09f],4.76e+08,2.44e+35,
120,J0220+3626,35.17550000,36.44880556,*,*,*,*,*,
121,J0227+3356,36.73775000,33.94104444,*,*,*,6.89e+06,5.90e+31,
122,J0229+20,37.26250000,20.96666667,*,*,*,*,*,
123,B0226+70,37.80832172,70.44274548,*,*,*,7.47e+06,3.89e+31,
124,J0241+16,40.44166667,16.06666667,*,*,*,*,*,
125,J0242+62,40.64583333,62.94722222,*,*,*,*,*,
126,J0243+6027,40.75000000,60.45000000,*,*,*,*,*,
127,J0244+14,41.21250000,14.45000000,*,*,*,*,*,
128,J0248+4230,42.12917917,42.50569167,*,*,HE[brj+21],2.44e+09,3.79e+34,
129,J0248+6021,42.07757083,60.35964444,*,*,HE[tpc+11],6.24e+04,2.13e+35,
130,J0250+5854,42.57408333,58.90036111,*,*,*,1.37e+07,8.22e+28,
131,J0251+2606,42.76064042,26.10276944,ELL1,UL[drc+21],HE[cck+16],5.32e+09,1.82e+34,
132,B0254-53,43.98455208,-53.07257639,*,*,*,2.27e+08,1.38e+31,
133,J0301+35,45.25000000,35.00000000,*,*,*,*,*,
134,J0302+2252,45.63329167,22.87002778,*,*,*,2.32e+08,1.85e+30,
135,B0301+19,46.13797917,19.54761111,*,*,*,1.70e+07,1.91e+31,
136,J0305+11,46.27500000,11.38333333,*,*,*,*,*,
137,J0307+7443,46.98291667,74.72027778,ELL1,*,HE[hrm+11/aab+22],2.90e+09,2.17e+34,
138,J0312-0921,48.02583333,-9.36555556,ELL1,UL[trr+21],HE[trr+21/aab+22],2.98e+09,1.53e+34,
139,J0317+13,49.47500000,13.48333333,*,*,*,*,*,
140,J0318+0253,49.56475417,2.88374444,*,*,HE[wlz+18],4.67e+09,4.97e+33,
141,B0320+39,50.86109125,39.74788972,*,*,*,7.56e+07,9.00e+29,
142,J0324+5239,51.23108333,52.65869444,*,*,*,1.40e+07,3.94e+32,
143,J0325+6744,51.27133070,67.74982995,*,*,*,1.39e+07,2.41e+31,
144,J0329+1654,52.28562500,16.90055556,*,*,*,6.58e+07,1.19e+31,
145,B0329+54,53.24754000,54.57870250,*,*,*,5.53e+06,2.22e+32,
146,B0331+45,53.81934000,45.93151444,*,*,*,5.80e+08,1.49e+31,
147,J0335+6623,53.98776332,66.38989798,*,*,*,5.80e+06,3.47e+31,
148,J0337+1715,54.43260787,17.25411889,ELL1,HeT[rsa+14],*,2.45e+09,3.42e+34,
149,J0337+79,54.34166667,79.02888889,*,*,RRAT[kkl+15],*,*,
150,J0340+4130,55.09703317,41.51258087,*,*,HE[aab+22],7.42e+09,7.75e+33,
151,J0341+5711,55.25000000,57.18333333,*,*,*,*,*,
152,J0343+06,55.75000000,6.00000000,*,*,*,*,*,
153,J0343-3000,55.86641667,-30.00763889,*,*,*,7.22e+08,1.28e+29,
154,B0339+53,55.80378531,53.21484111,*,*,*,2.28e+06,7.32e+31,
155,J0344-0901,56.15612917,-9.01740556,*,*,*,5.60e+06,7.44e+31,
156,J0348+0432,57.18182917,4.53651611,ELL1,He[afw+13],*,2.57e+09,1.59e+32,
157,J0349+2340,57.48908333,23.68138889,*,*,*,3.49e+07,3.06e+30,
158,J0355+28,58.75000000,28.00000000,*,*,*,*,*,
159,J0357+3205,59.46875000,32.09027778,*,*,NRAD[aab+22],5.40e+05,5.88e+33,
160,B0353+52,59.43683458,52.61597028,*,*,*,6.55e+06,2.46e+33,
161,J0358+4155,59.51322767,41.92195353,*,*,*,2.46e+07,4.96e+32,
162,B0355+54,59.72384917,54.22049556,*,*,HE[to07],5.64e+05,4.54e+34,
163,J0358+6627,59.65803763,66.46293697,*,*,*,1.33e+08,5.61e+32,
164,J0359+5414,59.85837500,54.24880556,*,*,NRAD[aab+22],7.52e+04,1.32e+36,
165,B0403-76,60.46562500,-76.13693056,*,*,*,5.60e+06,3.76e+32,
166,J0402+4825,60.66930417,48.43264167,*,*,*,2.95e+07,8.09e+31,
167,J0405+3347,61.37319945,33.78342730,*,*,*,6.19e+09,2.47e+31,
168,J0406+30,61.50000000,30.00000000,*,*,*,*,*,
169,B0402+61,61.62533583,61.64483556,*,*,*,1.69e+06,1.05e+33,
