name,ra,dec,CSC_err_r0,Gmag,BPmag,RPmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,MW_MW,name_cat,ra_cat,dec_cat,SubClass,ref,flag,Reg,color
2CXO J054150.7-015548,85.4614142,-1.9301852,0.81,,,,15.289,14.69,12.651,,,,t,054150.73-015548.2,85.4614142,-1.930185205,2,2013ApJS..209...32B,2,Flame,green
2CXO J053503.6-045053,83.7654089,-4.848104,0.732,14.54447,15.554875,13.485161,11.467,10.365,9.596,8.585,8.165,6.219,gcat,053503.70-045053.0,83.765408881,-4.848104049,DSK,2017ApJS..229...28G,2,ONC Flank N,cyan
2CXO J053506.7-045002,83.778205,-4.8339019,0.951,,,,16.986,16.205,15.399,,,,t,053506.77-045001.9,83.778205039,-4.833901872,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J053515.7-045054,83.8155939,-4.8483978,0.848,17.300255,19.21771,15.877842,13.565,12.75,12.409,,,,gt,053515.75-045054.0,83.815593926,-4.848397766,DSK,2017ApJS..229...28G,2,ONC Flank N,green
2CXO J053518.3-045323,83.8266524,-4.88996,0.89,16.955545,18.628511,15.613654,12.699,11.126,10.114,9.093,8.431,6.087,gcat,053518.38-045323.8,83.826652374,-4.889959972,DSK,2017ApJS..229...28G,2,ONC Flank N,cyan
2CXO J053521.5-045045,83.8395966,-4.8459364,0.713,11.873307,12.52484,11.042695,9.86,9.177,8.937,8.626,8.372,4.871,gcat,053521.50-045045.2,83.839596556,-4.845936447,DSK,2017ApJS..229...28G,2,ONC Flank N,cyan
2CXO J053522.5-045237,83.8438173,-4.8769596,0.879,16.06673,17.705479,14.741068,12.291,11.213,10.677,9.821,9.111,6.577,gcat,053522.51-045236.9,83.843817277,-4.876959614,DSK,2017ApJS..229...28G,2,ONC Flank N,cyan
2CXO J053523.8-045016,83.8492005,-4.8379359,0.712,14.686132,15.244567,13.491087,10.423,10.58,10.436,,,,gt,053523.81-045016.4,83.849200528,-4.837935865,DSK,2017ApJS..229...28G,2,ONC Flank N,green
2CXO J053524.1-045009,83.8505857,-4.83584,0.789,16.125582,16.746307,14.759526,12.569,12.102,11.713,,,,gt,053524.13-045008.9,83.850585683,-4.835840012,DSK,2017ApJS..229...28G,2,ONC Flank N,green
2CXO J053525.5-045120,83.8562557,-4.8557337,0.827,15.533495,16.424679,14.40557,12.292,11.281,10.689,10.034,9.354,5.941,gcat,053525.51-045120.5,83.856255723,-4.855733698,DSK,2017ApJS..229...28G,2,OMC 2-3,cyan
2CXO J053530.8-045518,83.8786676,-4.9216752,0.939,14.135627,14.891895,13.217001,11.863,11.069,10.673,10.151,9.657,6.469,gcat,053530.89-045518.0,83.878667645,-4.921675191,DSK,2017ApJS..229...28G,2,ONC Flank N,cyan
2CXO J111200.5-611724,168.0023671,-61.2902501,0.857,19.695503,20.528362,18.393085,15.334,14.935,13.48,,,,gt,111200.57-611724.6,168.002367115,-61.290250053,1,2013ApJS..209...32B,2,N3576,green
2CXO J053528.0-051719,83.8667885,-5.2887629,0.737,15.644286,17.570322,14.407419,12.417,11.633,11.327,,,,gt,053528.04-051720.2,83.866788517,-5.288762854,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J053530.8-053036,83.8783798,-5.5100504,0.744,15.417651,16.586065,14.247823,12.305,11.509,11.032,10.379,9.918,8.73,gcat,053530.81-053036.1,83.878379798,-5.510050419,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053517.9-051538,83.8249793,-5.2607352,0.711,16.404787,17.720112,15.094395,13.233,12.3,11.705,,,,gt,053517.98-051538.7,83.82497928,-5.260735161,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J053526.4-051611,83.8600331,-5.2699509,0.742,18.182287,16.182354,15.404379,13.417,11.945,11.155,,,,gt,053526.42-051612.0,83.860033141,-5.269950918,2,2013ApJS..209...32B,2,Orion,green
2CXO J053521.9-051500,83.8413506,-5.2501673,0.719,17.394522,17.640636,15.607969,12.738,11.541,11.049,,,,gt,053521.90-051501.2,83.841350646,-5.25016728,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J053515.8-053312,83.8158733,-5.5534483,0.712,14.157287,15.088758,13.192995,11.786,11.015,10.744,,,,gt,053515.81-053312.0,83.815873252,-5.553448269,2,2013ApJS..209...32B,2,Orion,green
2CXO J053530.7-051806,83.8779231,-5.3019009,0.717,16.008871,17.410931,14.717825,12.418,11.354,10.914,,,,gt,053530.71-051807.1,83.877923147,-5.301900874,2,2013ApJS..209...32B,2,Orion,green
2CXO J053520.2-053217,83.8345612,-5.5381386,1.0,17.336416,18.96191,15.864074,13.255,12.581,12.094,11.467,10.881,7.904,gcat,053520.29-053216.9,83.834561243,-5.538138554,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053505.7-053355,83.774081,-5.5654889,0.734,15.446769,16.898392,14.121759,11.974,10.923,10.233,9.531,8.736,7.186,gat,053505.79-053355.6,83.774081036,-5.565488928,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053517.5-051612,83.8229757,-5.2702042,0.712,,,,13.918,12.478,11.232,,,,t,053517.53-051612.6,83.822975721,-5.270204195,2,2013ApJS..209...32B,2,Orion,green
2CXO J053531.9-051619,83.8833177,-5.2720981,0.721,16.766537,14.968793,14.44105,12.805,11.758,11.229,,,,gt,053531.96-051619.8,83.883317697,-5.272098102,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J053522.6-051508,83.8444281,-5.2522596,0.736,17.832935,17.552032,16.048355,13.365,12.422,11.917,,,,gt,053522.65-051508.3,83.844428094,-5.252259603,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J053514.7-053416,83.811522,-5.5713457,0.744,18.019733,18.140074,16.341076,13.295,11.719,10.845,9.824,9.091,7.487,gcat,053514.76-053416.7,83.811521975,-5.571345714,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053508.8-053149,83.7869594,-5.5302986,0.722,14.049271,14.60219,12.90313,11.262,10.383,9.825,9.235,8.66,7.823,gcat,053508.87-053148.8,83.786959353,-5.530298604,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053509.2-053058,83.7884252,-5.5162739,0.722,17.814333,18.137415,15.975571,12.478,10.55,9.359,8.4,7.655,5.594,gcat,053509.21-053058.4,83.788425214,-5.516273911,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053510.9-051521,83.7957735,-5.2560057,0.888,,,,16.489,13.232,11.121,9.604,8.573,1.535,at,053510.99-051521.8,83.795773504,-5.256005667,DSK,2017ApJS..229...28G,2,OMC 2-3,cyan
2CXO J053518.8-051445,83.82853,-5.2458531,0.724,15.64441,16.759401,14.152655,12.214,11.309,10.885,,,,gt,053518.85-051445.7,83.828529972,-5.245853063,2,2013ApJS..209...32B,2,Orion,green
2CXO J053519.7-051405,83.8323761,-5.2348931,0.889,17.657658,18.356251,16.028006,13.469,12.597,12.261,,,,gt,053519.79-051405.3,83.832376063,-5.234893077,2,2013ApJS..209...32B,2,Orion,green
2CXO J053520.0-051250,83.8333418,-5.2139174,0.983,20.771948,24.688274,18.937901,14.376,12.254,11.08,,,,gt,053520.01-051250.3,83.833341761,-5.213917364,2,2013ApJS..209...32B,2,Orion,green
2CXO J053532.8-053021,83.8869652,-5.5059354,0.734,14.315132,15.123249,13.266681,11.387,10.464,9.85,8.965,8.541,5.91,gcat,053532.86-053021.3,83.886965212,-5.505935389,DSK,2017ApJS..229...28G,2,ONC Flank S,cyan
2CXO J053517.4-053215,83.8226939,-5.5377767,0.975,,,,15.5,13.705,12.681,11.519,11.335,8.941,cat,053517.42-053216.0,83.822693925,-5.537776689,DSK,2017ApJS..229...28G,2,ONC Flank S,cyan
2CXO J053522.9-053228,83.8455115,-5.5413599,0.742,14.838462,15.947474,13.70556,12.018,11.223,10.874,10.416,10.057,6.5,gcat,053522.93-053228.7,83.84551146,-5.541359898,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053513.7-053454,83.8074901,-5.5818768,0.762,16.935438,18.909313,15.422081,12.798,11.54,10.857,,,,gt,053513.77-053454.7,83.807490086,-5.581876779,2,2013ApJS..209...32B,2,Orion,green
2CXO J053516.3-051537,83.8179859,-5.2604081,0.712,15.493449,16.994848,14.294154,11.947,10.84,10.306,,,,gt,053516.33-051538.0,83.817985904,-5.260408093,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J053531.5-051636,83.8815424,-5.2768711,0.843,16.88629,15.699178,14.651856,12.645,11.615,10.947,,,,gt,053531.56-051636.9,83.881542421,-5.276871145,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J053503.3-051622,83.7638256,-5.2728907,0.856,19.034447,18.607609,17.203093,14.097,12.376,11.606,,,,gt,053503.31-051622.9,83.763825593,-5.272890703,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J053508.0-053244,83.7834631,-5.5456168,0.777,14.882256,15.713573,13.806278,12.038,11.063,10.473,9.427,9.104,6.022,gcat,053508.03-053243.9,83.783463081,-5.545616817,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053517.9-051532,83.8245979,-5.2589829,0.716,15.96585,17.514881,14.491971,11.596,10.206,9.508,8.662,8.172,4.031,gcat,053517.92-051532.9,83.824597881,-5.258982874,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053522.8-053137,83.8450561,-5.5270352,0.743,15.444867,16.57719,14.223898,12.213,11.269,10.75,9.759,9.509,5.102,gcat,053522.82-053137.0,83.84505614,-5.527035157,2,2013ApJS..209...32B,2,Orion,cyan
2CXO J053527.0-051544,83.8627272,-5.2622751,0.727,16.92013,16.218315,15.153477,12.747,11.763,11.16,,,,gt,053527.05-051544.6,83.862727246,-5.262275123,DSK,2017ApJS..229...28G,2,OMC 2-3,green
2CXO J225649.5+615942,344.2063367,61.9951699,0.898,19.698063,21.525572,18.089859,14.828,13.558,12.892,12.399,11.892,9.792,gcat,225649.52+615942.6,344.20633672,61.995169889,DSK,2017ApJS..229...28G,2,Cep A,cyan
2CXO J052256.6+332628,80.7359433,33.441129,0.766,18.391569,19.185865,17.282047,15.585,14.598,14.156,,,,gt,052256.62+332628.0,80.735943279,33.441128979,2,2013ApJS..209...32B,2,N1893,green
2CXO J183010.7-020354,277.5449633,-2.0652417,0.985,,,,18.459,16.577,14.884,12.579,10.514,8.54,cat,183010.79-020354.8,277.544963312,-2.065241698,DSK,2017ApJS..229...28G,2,Serpens South,cyan
2CXO J054609.6-000331,86.5400179,-0.0586602,0.726,18.895222,20.722878,17.412752,14.007,12.454,11.719,11.004,10.599,7.441,gcat,054609.60-000331.1,86.540017883,-0.058660167,DSK,2017ApJS..229...28G,2,NGC 2068-2071,cyan
2CXO J104432.5-594406,161.1356826,-59.7351871,0.882,13.40038,13.747259,12.798288,11.971,11.376,10.692,,,,gt,104432.56-594406.6,161.135682639,-59.735187052,2,2013ApJS..209...32B,2,Car,green
2CXO J183124.8-020619,277.8536405,-2.1054102,0.734,,,,14.857,12.397,10.939,,,,t,183124.87-020619.4,277.853640535,-2.105410233,1,2013ApJS..209...32B,2,W40,green
2CXO J052254.0+332633,80.7253167,33.4425063,0.712,16.817457,17.670725,15.874392,14.351,13.55,13.249,12.754,12.483,10.306,gat,052254.07+332633.0,80.72531669,33.442506347,2,2013ApJS..209...32B,2,N1893,cyan
2CXO J053528.6-044816,83.869486,-4.8045927,0.811,16.032583,16.801224,14.943837,15.791,14.416,12.879,9.425,8.667,6.102,gcat,053528.67-044816.5,83.869486004,-4.804592681,DSK,2017ApJS..229...28G,2,ONC Flank N,cyan
